#{"t_start": 1686314906.9375455, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
380.0,3393,2703.415454
245.0,2412,2705.571574
320.0,2335,2707.65763
315.0,2395,2709.789144
315.0,2542,2712.038789
445.0,3051,2714.735174
285.0,2579,2717.042597
360.0,2519,2719.43679
700.0,3369,2722.417098
375.0,2709,2724.832273
580.0,4132,2728.484487
525.0,3961,2732.026504
500.0,3835,2735.445952
365.0,3344,2738.428352
710.0,4384,2742.300535
570.0,4228,2755.082155
855.0,4371,2758.942744
800.0,5175,2763.490809
425.0,3655,2766.71346
595.0,4351,2770.745205
495.0,3879,2774.177945
515.0,3111,2776.980849
570.0,3457,2780.188004
280.0,2908,2783.023121
550.0,2719,2785.647349
395.0,4213,2789.854427
1070.0,6929,2796.552818
545.0,4288,2800.610579
1085.0,7889,2808.184138
775.0,4363,2812.268042
725.0,3332,2815.459395
455.0,2345,2817.637347
545.0,3578,2820.95875
525.0,3603,2824.281851
570.0,4879,2828.760119
605.0,3569,2832.048122
530.0,4315,2836.145617
540.0,3621,2839.411572
455.0,3961,2842.962205
460.0,3659,2846.242256
600.0,5315,2860.533047
1000.0,6437,2866.306857
865.0,6847,2872.540177
525.0,4631,2876.758048
580.0,4176,2880.881893
425.0,2505,2883.295726
545.0,3308,2886.480848
445.0,2920,2889.32011
315.0,2839,2892.089506
290.0,2904,2894.877813
860.0,6817,2901.64288
295.0,3391,2904.90544
1080.0,8153,2912.293725
505.0,3957,2915.868929
505.0,2849,2918.46266
575.0,4196,2922.419105
530.0,2731,2924.888686
380.0,2703,2927.317954
360.0,2455,2929.539957
600.0,4749,2933.818956
735.0,4628,2938.033314
545.0,4663,2942.22328
515.0,4125,2946.076309
680.0,3971,2949.663929
600.0,4273,2960.212354
395.0,3509,2963.332526
385.0,3152,2966.35045
435.0,3923,2969.928315
400.0,3052,2972.824151
630.0,3244,2975.877278
740.0,4354,2979.920857
600.0,4189,2983.789692
570.0,5305,2988.746383
500.0,3281,2991.826566
300.0,2583,2994.241374
545.0,3988,2997.932372
455.0,4041,3001.649476
570.0,4397,3005.70727
665.0,4033,3009.421586
415.0,3099,3012.326597
600.0,2348,3014.6331
470.0,3647,3017.981556
775.0,2455,3020.234101
265.0,2753,3022.780549
605.0,4043,3026.444075
435.0,4291,3030.365258
450.0,3487,3033.568501
675.0,3471,3036.879882
385.0,2135,3038.850879
325.0,3441,3041.987427
725.0,4599,3046.299628
490.0,3889,3049.93153
600.0,4489,3063.864767
520.0,4495,3068.180102
605.0,4545,3072.430454
550.0,3816,3075.873751
340.0,2199,3077.880611
695.0,4113,3081.728716
775.0,4339,3086.001213
575.0,3998,3089.75105
445.0,2945,3092.533206
335.0,2653,3095.113515
570.0,3211,3098.079459
270.0,2307,3100.281632
545.0,4611,3104.618593
360.0,2284,3106.882486
480.0,2689,3109.479699
575.0,3505,3112.794024
225.0,2085,3114.727792
440.0,3575,3117.980778
600.0,3685,3121.285366
400.0,2769,3123.803714
435.0,3633,3127.145099
730.0,3555,3130.52658
480.0,2913,3133.16611
490.0,3933,3136.775
380.0,2284,3138.915749
750.0,3838,3142.503517
670.0,2993,3145.250841
640.0,3297,3148.337224
1100.0,6755,3154.905538
455.0,3543,3166.272459
600.0,3931,3170.121372
600.0,4295,3174.447795
515.0,4029,3178.381601
135.0,2015,3180.129864
715.0,4121,3183.821578
550.0,3851,3187.241412
305.0,2583,3189.537812
455.0,3849,3192.924692
545.0,3547,3196.110445
570.0,4054,3199.716375
320.0,3019,3202.581274
340.0,2348,3204.71029
430.0,3799,3208.134552
600.0,3793,3211.507475
575.0,3789,3214.844188
555.0,4345,3218.715206
475.0,3423,3221.759317
575.0,3469,3225.208146
310.0,2869,3228.428124
865.0,4633,3232.517774
1240.0,7671,3239.309391
635.0,4293,3243.115595
1605.0,7491,3249.774427
255.0,2334,3251.943959
390.0,2561,3254.349998
445.0,3811,3267.887779
685.0,3953,3271.471658
545.0,3739,3274.974464
385.0,3171,3277.809995
440.0,3941,3281.325821
750.0,4559,3285.422248
470.0,4375,3289.314601
570.0,4376,3293.189107
600.0,4223,3297.130223
600.0,4501,3301.413974
745.0,3598,3304.79524
600.0,3929,3308.580575
570.0,4313,3312.603016
320.0,2637,3315.069133
540.0,3415,3318.222781
400.0,3811,3321.892123
575.0,4264,3325.829593
720.0,4005,3329.518825
575.0,3951,3333.177472
520.0,3616,3336.522097
850.0,6867,3342.928972
225.0,3047,3345.899102
880.0,5669,3351.156542
365.0,2627,3353.61567
495.0,2591,3356.009234
685.0,3667,3359.406136
715.0,3787,3374.741555
785.0,5605,3379.968589
545.0,4059,3383.72273
1110.0,7079,3390.39436
770.0,4179,3394.236497
550.0,4395,3398.294301
545.0,4165,3402.136354
510.0,4745,3406.610394
335.0,2549,3409.064035
570.0,3841,3413.002285
340.0,3089,3416.055633
535.0,3969,3419.610154
510.0,3063,3422.442367
505.0,4899,3426.912283
575.0,4149,3430.723913
455.0,4715,3435.018171
340.0,2639,3437.41873
420.0,2796,3440.141825
600.0,4535,3444.299849
540.0,3974,3447.933283
575.0,4655,3452.194226
575.0,4416,3456.199597
690.0,3825,3460.04511
515.0,3349,3463.195279
385.0,3109,3476.246165
450.0,3633,3479.628612
720.0,5579,3484.863424
670.0,5221,3489.792323
445.0,3691,3493.112447
600.0,4439,3497.086881
295.0,2543,3499.381104
485.0,3795,3502.776157
945.0,3603,3506.029221
440.0,2379,3508.158758
445.0,2933,3510.780227
545.0,4118,3514.702227
520.0,3209,3517.62835
485.0,3963,3521.235016
570.0,4895,3525.595236
670.0,3015,3528.315777
1145.0,7569,3535.210688
460.0,3359,3538.359449
255.0,2399,3540.534241
630.0,4139,3544.252585
405.0,2348,3546.385375
805.0,4229,3550.212589
715.0,3699,3553.583904
715.0,3990,3557.204056
300.0,2385,3559.540057
270.0,2177,3561.519306
575.0,4289,3565.40717
600.0,3849,3576.318734
205.0,1875,3578.067799
600.0,4787,3582.606802
610.0,3821,3586.057677
560.0,3360,3589.07574
1235.0,7949,3596.222166
305.0,3136,3599.070237
515.0,4271,3603.055763
1130.0,7203,3609.569055
750.0,3575,3612.788423
580.0,3839,3616.233135
570.0,3615,3619.49913
935.0,7861,3626.873275
535.0,3307,3629.937495
600.0,3421,3633.094729
385.0,2847,3635.72734
575.0,4381,3639.761919
715.0,3717,3643.175956
600.0,3787,3646.811924
745.0,4591,3651.043764
525.0,4519,3655.194776
605.0,4783,3659.594141
950.0,7161,3666.207418
775.0,4116,3679.805763
550.0,4217,3683.694652
545.0,4363,3687.693854
800.0,4075,3691.386995
365.0,3389,3694.47352
540.0,3862,3698.113864
355.0,3191,3701.012089
335.0,2369,3703.182917
485.0,4139,3706.913041
700.0,3345,3709.97027
640.0,3553,3713.536449
775.0,4071,3717.59322
600.0,3903,3721.485736
390.0,3141,3724.425942
745.0,4273,3728.565333
720.0,4323,3732.643197
515.0,2596,3735.107118
800.0,4309,3739.157629
340.0,2924,3742.14024
1120.0,5974,3748.139546
1005.0,3389,3751.436859
425.0,4391,3755.671098
670.0,3521,3759.023371
490.0,3855,3762.648385
485.0,3367,3765.791087
530.0,3137,3768.97607
535.0,4047,3772.850083
540.0,3811,3787.729704
495.0,3393,3791.46787
485.0,3473,3795.304727
575.0,4323,3799.210095
385.0,3023,3801.998683
700.0,5961,3807.971192
935.0,7397,3815.091616
545.0,4297,3819.257928
395.0,3315,3822.329565
435.0,3521,3825.547738
550.0,4411,3829.46606
655.0,3803,3832.891727
555.0,4109,3836.664543
640.0,3951,3840.424569
440.0,4163,3844.447512
275.0,3744,3848.057215
585.0,3697,3851.967591
570.0,4109,3856.0041
605.0,3527,3859.612358
700.0,3617,3863.480407
500.0,3883,3867.815612
455.0,3911,3871.887569
800.0,4547,3876.082562
600.0,4329,3880.050581
485.0,3855,3883.610248
